k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,5.0,20,127.07873007845542,19.945462863702488,-46.62278130284806,43.26599326599327,48.25367647058824,-5.3994080558453454
10,5.0,22,124.90372298951576,19.867757382676565,-46.62278130284806,43.26599326599327,47.794117647058826,-5.3994080558453454
10,5.0,24,121.74404469974806,19.75252080429657,-46.62278130284806,42.76094276094276,43.93382352941176,-5.3994080558453454
10,5.0,26,115.22190534273153,19.505258946631464,-46.62278130284806,42.17171717171717,43.29044117647059,-5.3994080558453454
10,5.0,28,115.22190534273153,19.505258946631464,-46.62278130284806,42.17171717171717,43.29044117647059,-5.3994080558453454
10,5.0,30,102.78747991665618,18.994064642294827,-46.62278130284806,42.003367003367,43.29044117647059,-15.60843907553875
10,6.0,0,118.63377183958741,19.63623961920915,-48.439801554362816,40.82491582491583,49.080882352941174,-21.45438913918294
10,6.0,1,118.63377183958741,19.63623961920915,-48.439801554362816,40.82491582491583,49.080882352941174,-21.45438913918294
10,6.0,2,127.37001032894027,19.95577196462477,-46.62278130284804,43.77104377104377,49.080882352941174,-15.60843907553875
10,6.0,3,128.87454774444637,20.008662454369453,-46.62278130284804,43.77104377104377,49.17279411764706,-15.60843907553875
10,6.0,4,135.76564515036262,20.24355835007814,-46.62278130284804,43.77104377104377,55.33088235294118,-15.60843907553875
10,6.0,5,137.23171303595348,20.292048839221934,-46.62278130284804,43.85521885521885,55.33088235294118,-15.60843907553875
10,6.0,6,134.0605748350778,20.186524839056517,-46.62278130284804,43.77104377104377,55.33088235294118,-15.60843907553875
10,6.0,7,134.47982044245646,20.200612790952842,-46.62278130284804,43.77104377104377,55.33088235294118,-15.60843907553875
10,6.0,8,132.1658817729293,20.122323790371844,-46.62278130284804,43.77104377104377,55.33088235294118,-15.60843907553875
10,6.0,9,142.99391275496117,20.47792397658541,-46.62278130284804,43.93939393939394,55.33088235294118,-15.60843907553875
10,6.0,10,142.99391275496117,20.47792397658541,-46.62278130284804,43.93939393939394,55.33088235294118,-15.60843907553875
10,6.0,11,141.10482794134091,20.417793450501097,-46.62278130284805,43.77104377104377,54.87132352941176,-15.60843907553875
10,6.0,12,139.6595081109902,20.371262708280558,-46.62278130284805,43.77104377104377,54.779411764705884,-15.60843907553875
10,6.0,13,137.7183862378387,20.308035478092368,-46.62278130284802,43.686868686868685,54.779411764705884,-15.60843907553875
10,6.0,14,137.62567911642682,20.304994355563366,-46.62278130284806,43.686868686868685,54.779411764705884,-15.60843907553875
10,6.0,15,135.4209813818556,20.23208537428205,-46.62278130284805,43.686868686868685,54.779411764705884,-15.60843907553875
10,6.0,16,137.99922020029044,20.31723581855507,-46.62278130284802,43.77104377104377,54.87132352941176,-15.60843907553875
10,6.0,18,124.39978562130148,19.849567681234003,-46.62278130284804,43.09764309764309,54.50367647058824,-15.60843907553875
10,6.0,20,116.55305261993566,19.556799894991883,-46.62278130284802,42.84511784511785,48.25367647058824,-15.60843907553875
10,6.0,22,114.55819702506592,19.479346205423663,-46.62278130284802,42.84511784511785,47.794117647058826,-15.60843907553875
10,6.0,24,111.6602285787183,19.364483031669334,-46.62278130284802,42.340067340067336,43.93382352941176,-15.60843907553875
10,6.0,26,105.67830500107782,19.118022384198884,-46.62278130284802,41.75084175084175,43.29044117647059,-15.60843907553875
10,6.0,28,105.67830500107782,19.118022384198884,-46.62278130284802,41.75084175084175,43.29044117647059,-15.60843907553875
10,6.0,30,105.67830500107782,19.118022384198884,-46.62278130284802,41.75084175084175,43.29044117647059,-15.60843907553875
10,7.000000000000001,0,125.63465594258146,19.894015394204835,-46.62278130284805,42.84511784511785,48.713235294117645,-17.22244073946042
